description,author,rating,reviews,price,url
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07872721BQPLBS2BVZQD&url=%2FHowkins-Bourne-Shaws-Textbook-Gynaecology%2Fdp%2F8131254119%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-21-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_btf
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06527781RQ8Y34QNVLO9&url=%2FDiseases-Nose-throat-Head-Surgery%2Fdp%2F8131248844%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847765%26sr%3D8-22-spons%26psc%3D1&qualifier=1612847765&id=3913578239306344&widgetName=sp_btf
Data Science and Machine Learning Interview Questions Using R: Crack the Data Scientist and Machine Learning Engineers Interviews with Ease (English Edition),Vishwanathan Narayanan,5.0 out of 5 stars,by ,₹398₹398,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0487840G7TX67M5WHU2&url=%2FScience-Machine-Learning-Interview-Questions%2Fdp%2F938984584X%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847790%26sr%3D8-17-spons%26psc%3D1%26smid%3DA15DBATYR506U3&qualifier=1612847790&id=8248925051894699&widgetName=sp_atf_next
 , , , , ,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0674932381DT53L9EOGQ&url=%2FAdvanced-Interview-Questions-Youll-Likely%2Fdp%2F1946383228%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-33-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_atf_next
"Hibernate, Spring & Struts: Interview Questions You'll Most Likely Be Asked: 7 (Job Interview Questions)",Vibrant Publishers,3.7 out of 5 stars,by ,₹499₹499,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0389741ZNYBV1UYJHM9&url=%2FHibernate-Spring-Struts-Interview-Questions%2Fdp%2F1946383023%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-34-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_atf_next
 , , , , ,https://www.amazon.in///dp/B08W6N71N3/ref=sr_1_35?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-35
 , , , , ,https://www.amazon.in///Dhan-ko-Akarshit-Kaise-Karen/dp/8183225985/ref=sr_1_36?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-36
Handbook on Decision Making: Vol 2: Risk Management in Decision Making: 33 (Intelligent Systems Reference Library),Jie Lu,,by ,"₹8,999₹8,999",https://www.amazon.in///Handbook-Decision-Making-Management-Intelligent/dp/3642257542/ref=sr_1_37?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-37
 , , , , ,https://www.amazon.in///100-Solutions-Java-Hands-Introduction/dp/9389845602/ref=sr_1_38?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-38
Dynamic Programming (Dover Books on Computer Science),Richard Bellman,4.6 out of 5 stars,by ,"₹1,701.45₹1,701.45",https://www.amazon.in///Dynamic-Programming-Dover-Computer-Science/dp/0486428095/ref=sr_1_39?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-39
 , , , , ,https://www.amazon.in///Arduino-Beginners-Arduino-Projects-Included-ebook/dp/B08W3G8545/ref=sr_1_40?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-40
 , , , , ,https://www.amazon.in///Beginners-Photography-Guide-Dk-DK/dp/0241241278/ref=sr_1_41?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-41
 , , , , ,https://www.amazon.in///SAP-ABAP-Covers-Black-Book/dp/8177224298/ref=sr_1_42?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-42
Web Coding & Development All - in - One For Dummies,Paul McFedries,4.6 out of 5 stars,by ,₹741₹741,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07986033G1HH01ONQZLD&url=%2FWeb-Coding-Development-All-Dummies%2Fdp%2F8126576014%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-43-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_mtf
Computer Programming with C++,Kunal Pimparkhede,4.3 out of 5 stars,by ,₹550₹550,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06717948VGILLGWXU2V&url=%2FComputer-Programming-C-Kunal-Pimparkhede%2Fdp%2F1316506800%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-44-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_mtf
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,4.4 out of 5 stars,by ,₹300₹300,https://www.amazon.in///Master-Algorithm-Pedro-Domingos/dp/0141979240/ref=sr_1_45?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-45
 , , , , ,https://www.amazon.in///Master-Nlp-Success-NEUROLINGUISTIC-PROGRAMMING/dp/B08T48HRMM/ref=sr_1_46?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-46
 , , , , ,https://www.amazon.in///dp/B08W6ZJ8MH/ref=sr_1_47?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-47
 , , , , ,https://www.amazon.in///Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=sr_1_48?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-48
 , , , , ,https://www.amazon.in///dp/B08W4QZW5Q/ref=sr_1_49?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-49
The Advanced Photography Guide: The Ultimate Step-by-Step Manual for Getting the Most from Your Digital Camera,DK,4.6 out of 5 stars,by ,"₹1,199₹1,199",https://www.amazon.in///Advanced-Photography-Guide-DK/dp/0241301920/ref=sr_1_50?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-50
Drupal 8 Development Cookbook: Over 60 hands-on recipes that get you acquainted with Drupal 8's features and help you harness its power,Matt Glaman,4.0 out of 5 stars,by ,"₹1,399₹1,399",https://www.amazon.in///Drupal-Development-Cookbook-Matt-Glaman/dp/1785881477/ref=sr_1_51?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-51
"Are You Smart Enough to Work at Google?: Trick Questions, Zen-like Riddles, Insanely Difficult Puzzles, and Other Devious Interviewing Techniques You ... Know to Get a Job Anywhere in the New Economy",William Poundstone,4.1 out of 5 stars,by ,₹428.44₹428.44,https://www.amazon.in///Are-Smart-Enough-Work-Google/dp/0316099988/ref=sr_1_52?dchild=1&keywords=books+on+programming&qid=1612847791&sr=8-52
SQL & PL/SQL for Oracle 11g Black Book,P.S. Deshpande,4.0 out of 5 stars,by ,₹591₹591,https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0576438ZU31OASA84WB&url=%2FSQL-Oracle-11g-Black-Book%2Fdp%2F8177229400%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-53-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_btf
Web Services: A Java Developer's Guide Using e-Speak (Hewlett-Packard Professional Books),Naresh Apte,,by ,"₹3,473₹3,473",https://www.amazon.in///gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A09936743M7TQHUENENW7&url=%2FWeb-Services-Speak-Hewlett-Packard-Professional%2Fdp%2F0130623385%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dbooks%2Bon%2Bprogramming%26qid%3D1612847791%26sr%3D8-54-spons%26psc%3D1&qualifier=1612847791&id=1054811736623193&widgetName=sp_btf
